frequency_hz,horizontal,vertical,axial
3.068577707239653023e+02,4.852580415940582433e-04,4.845732443978563063e-04,9.698255215957723302e-04
3.088248077157855960e+02,6.859585321454671984e-04,1.084302755812517052e-03,1.939250857030864680e-03
3.107918447076058897e+02,6.853276391912567879e-04,1.748263360144328106e-03,9.701002628410749671e-04
3.127588816994261833e+02,6.858300450982734347e-04,1.372251971613671576e-03,1.691727434106284137e-07
3.147259186912464770e+02,1.749663954964091354e-03,2.830088901601037019e-03,3.889939487450506228e-07
3.166929556830667707e+02,7.822258532039525619e-03,2.196028554843324279e-02,1.455353582008721974e-03
3.186599926748870644e+02,1.212405347299897948e-02,3.258141876527684971e-02,2.909749188670320789e-03
3.206270296667073012e+02,4.996150466764008938e-03,1.313584702709868005e-02,1.455414909108737869e-03
3.225940666585275949e+02,4.844888004214640675e-04,1.086146160559853463e-03,5.093888450667062034e-07
3.245611036503478886e+02,6.853597464907103601e-04,1.533014151368818382e-03,1.418054468101369810e-07
3.265281406421681822e+02,6.868103263147533680e-04,8.460054723079408156e-07,1.673680063360121622e-07
3.284951776339884759e+02,9.701016544464868179e-04,4.529537052496132337e-07,2.157483815344846319e-07
3.304622146258087696e+02,9.704408888695060338e-04,3.732387926105391095e-07,2.783060114639339652e-07
3.324292516176290633e+02,4.849148234336096274e-04,1.865769668947898554e-07,3.688473061424355175e-07
3.343962886094493570e+02,4.850526893302754003e-04,3.332643027192959278e-07,4.761601225492402134e-07
3.363633256012696506e+02,4.850483224858264221e-04,3.464575623450667078e-07,1.159823038913858157e-06
3.383303625930899443e+02,4.852151608600189310e-04,4.852199685465592564e-04,1.939988774806840994e-03
3.402973995849102380e+02,9.702215556023607293e-04,9.706430867339958368e-04,3.305687318794003935e-06
3.422644365767305317e+02,2.428170572129349000e-03,4.477109949715419104e-03,1.554561295052771068e-02
3.442314735685508253e+02,7.824575478557612221e-03,1.459896872204881173e-02,4.616215958107555695e-02
3.461985105603711190e+02,6.310290467837774246e-03,1.020361939521474866e-02,3.226442830557985780e-02
3.481655475521914127e+02,3.070845004158459166e-03,6.854328720220565939e-04,3.500903065483614712e-03
3.501325845440117064e+02,1.749697353097413649e-03,9.716486722336912163e-04,6.882067456819125021e-04
3.520996215358320001e+02,9.911239032003566642e-07,6.868028221715388867e-04,1.750848806991234631e-03
3.540666585276522369e+02,1.455962299823437877e-03,4.851080905286897873e-04,1.454821279575370689e-03
3.560336955194725306e+02,1.455937375684301840e-03,4.852764421663882818e-04,4.838474753782073703e-04
3.580007325112928243e+02,1.456355278157790744e-03,9.711391257489872730e-04,9.706569526010242919e-04
3.599677695031131179e+02,2.912753757581162430e-03,9.709822306171883317e-04,4.194115783886783013e-07
3.619348064949334116e+02,9.709054933584960806e-04,4.855830841499659558e-04,1.085828729990760818e-03
3.639018434867537053e+02,4.846839675978882817e-04,9.714880662016228035e-04,1.373369851253531141e-03
3.658688804785739990e+02,4.868192396430665015e-04,1.941930547492113409e-03,6.874626811238320444e-04
3.678359174703942926e+02,1.946288620718219457e-03,2.915597034508530822e-03,2.431663142449502855e-03
3.698029544622145863e+02,1.993582104521825216e-02,1.068474522856872888e-02,2.089074182184676859e-02
3.717699914540348800e+02,2.820099665898316912e-02,1.456754024749082159e-02,2.984673078971483359e-02
